shipments,trackstart,trackend,day,volume
Company_A_3_2,11,4,6,0
Company_A_3_2,11,4,8,0
Company_A_3_2,11,4,12,0
Company_A_3_2,11,5,7,0
Company_A_3_2,11,5,14,0
Company_A_3_2,11,6,7,0
Company_A_3_2,11,6,9,0
Company_A_3_2,11,6,15,0
Company_A_3_2,11,7,13,0
Company_A_3_2,11,8,9,0
Company_A_3_2,11,9,10,0
Company_A_3_2,11,10,11,0
Company_A_3_2,11,12,15,0
Company_A_3_2,11,13,14,0
Company_A_3_2,11,14,15,0
Company_A_3_2,12,1,3,0
Company_A_3_2,12,1,4,0
Company_A_3_2,12,1,8,0
Company_A_3_2,12,2,5,0
Company_A_3_2,12,3,5,0
Company_A_3_2,12,3,7,0
Company_A_3_2,12,3,14,0
Company_A_3_2,12,4,6,0
Company_A_3_2,12,4,8,0
Company_A_3_2,12,4,12,0
Company_A_3_2,12,5,7,0
Company_A_3_2,12,5,14,0
Company_A_3_2,12,6,7,0
Company_A_3_2,12,6,9,0
Company_A_3_2,12,6,15,0
Company_A_3_2,12,7,13,0
Company_A_3_2,12,8,9,0
Company_A_3_2,12,9,10,0
Company_A_3_2,12,10,11,0
Company_A_3_2,12,12,15,0
Company_A_3_2,12,13,14,0
Company_A_3_2,12,14,15,0
Company_A_3_2,13,1,3,0
Company_A_3_2,13,1,4,0
Company_A_3_2,13,1,8,0
Company_A_3_2,13,2,5,0
Company_A_3_2,13,3,5,0
Company_A_3_2,13,3,7,0
Company_A_3_2,13,3,14,0
Company_A_3_2,13,4,6,0
Company_A_3_2,13,4,8,0
Company_A_3_2,13,4,12,0
Company_A_3_2,13,5,7,0
Company_A_3_2,13,5,14,0
Company_A_3_2,13,6,7,0
Company_A_3_2,13,6,9,0
Company_A_3_2,13,6,15,0
Company_A_3_2,13,7,13,0
Company_A_3_2,13,8,9,0
Company_A_3_2,13,9,10,0
Company_A_3_2,13,10,11,0
Company_A_3_2,13,12,15,0
Company_A_3_2,13,13,14,0
Company_A_3_2,13,14,15,0
Company_A_3_2,14,1,3,0
Company_A_3_2,14,1,4,0
Company_A_3_2,14,1,8,0
Company_A_3_2,14,2,5,0
Company_A_3_2,14,3,5,0
Company_A_3_2,14,3,7,0
Company_A_3_2,14,3,14,0
Company_A_3_2,14,4,6,0
Company_A_3_2,14,4,8,0
Company_A_3_2,14,4,12,0
Company_A_3_2,14,5,7,0
Company_A_3_2,14,5,14,0
Company_A_3_2,14,6,7,0
Company_A_3_2,14,6,9,0
Company_A_3_2,14,6,15,0
Company_A_3_2,14,7,13,0
Company_A_3_2,14,8,9,0
Company_A_3_2,14,9,10,0
Company_A_3_2,14,10,11,0
Company_A_3_2,14,12,15,0
Company_A_3_2,14,13,14,0
Company_A_3_2,14,14,15,0
Company_B_1_11,1,1,3,0
Company_B_1_11,1,1,4,0
Company_B_1_11,1,1,8,0
Company_B_1_11,1,2,5,0
Company_B_1_11,1,3,5,0
Company_B_1_11,1,3,7,0
Company_B_1_11,1,3,14,0
Company_B_1_11,1,4,6,0
Company_B_1_11,1,4,8,0
Company_B_1_11,1,4,12,0
Company_B_1_11,1,5,7,0
Company_B_1_11,1,5,14,0
Company_B_1_11,1,6,7,0
Company_B_1_11,1,6,9,0
Company_B_1_11,1,6,15,0
Company_B_1_11,1,7,13,0
Company_B_1_11,1,8,9,0
Company_B_1_11,1,9,10,0
Company_B_1_11,1,10,11,0
Company_B_1_11,1,12,15,0
Company_B_1_11,1,13,14,0
Company_B_1_11,1,14,15,0
Company_B_1_11,2,1,3,0
Company_B_1_11,2,1,4,0
Company_B_1_11,2,1,8,0
Company_B_1_11,2,2,5,0
Company_B_1_11,2,3,5,0
Company_B_1_11,2,3,7,0
Company_B_1_11,2,3,14,0
Company_B_1_11,2,4,6,0
Company_B_1_11,2,4,8,0
Company_B_1_11,2,4,12,0
Company_B_1_11,2,5,7,0
Company_B_1_11,2,5,14,0
Company_B_1_11,2,6,7,0
Company_B_1_11,2,6,9,0
Company_B_1_11,2,6,15,0
Company_B_1_11,2,7,13,0
Company_B_1_11,2,8,9,0
Company_B_1_11,2,9,10,0
Company_B_1_11,2,10,11,0
Company_B_1_11,2,12,15,0
Company_B_1_11,2,13,14,0
Company_B_1_11,2,14,15,0
Company_B_1_11,3,1,3,0
Company_B_1_11,3,1,4,0
Company_B_1_11,3,1,8,0
Company_B_1_11,3,2,5,0
Company_B_1_11,3,3,5,0
Company_B_1_11,3,3,7,0
Company_B_1_11,3,3,14,0
Company_B_1_11,3,4,6,0
Company_B_1_11,3,4,8,0
Company_B_1_11,3,4,12,0
Company_B_1_11,3,5,7,0
Company_B_1_11,3,5,14,0
Company_B_1_11,3,6,7,0
Company_B_1_11,3,6,9,0
Company_B_1_11,3,6,15,0
Company_B_1_11,3,7,13,0
Company_B_1_11,3,8,9,0
Company_B_1_11,3,9,10,0
Company_B_1_11,3,10,11,0
Company_B_1_11,3,12,15,0
Company_B_1_11,3,13,14,0
Company_B_1_11,3,14,15,0
Company_B_1_11,4,1,3,0
Company_B_1_11,4,1,4,0
Company_B_1_11,4,1,8,0
Company_B_1_11,4,2,5,0
Company_B_1_11,4,3,5,0
Company_B_1_11,4,3,7,0
Company_B_1_11,4,3,14,0
Company_B_1_11,4,4,6,0
Company_B_1_11,4,4,8,0
Company_B_1_11,4,4,12,0
Company_B_1_11,4,5,7,0
Company_B_1_11,4,5,14,0
Company_B_1_11,4,6,7,0
Company_B_1_11,4,6,9,0
Company_B_1_11,4,6,15,0
Company_B_1_11,4,7,13,0
Company_B_1_11,4,8,9,0
Company_B_1_11,4,9,10,0
Company_B_1_11,4,10,11,0
Company_B_1_11,4,12,15,0
Company_B_1_11,4,13,14,0
Company_B_1_11,4,14,15,0
Company_B_1_11,5,1,3,0
Company_B_1_11,5,1,4,0
Company_B_1_11,5,1,8,0
Company_B_1_11,5,2,5,0
Company_B_1_11,5,3,5,0
Company_B_1_11,5,3,7,0
Company_B_1_11,5,3,14,0
Company_B_1_11,5,4,6,0
Company_B_1_11,5,4,8,0
Company_B_1_11,5,4,12,0
Company_B_1_11,5,5,7,0
Company_B_1_11,5,5,14,0
Company_B_1_11,5,6,7,0
Company_B_1_11,5,6,9,0
Company_B_1_11,5,6,15,0
Company_B_1_11,5,7,13,0
Company_B_1_11,5,8,9,0
Company_B_1_11,5,9,10,0
Company_B_1_11,5,10,11,0
Company_B_1_11,5,12,15,0
Company_B_1_11,5,13,14,0
Company_B_1_11,5,14,15,0
Company_B_1_11,6,1,3,0
Company_B_1_11,6,1,4,0
Company_B_1_11,6,1,8,0
Company_B_1_11,6,2,5,0
Company_B_1_11,6,3,5,0
Company_B_1_11,6,3,7,0
Company_B_1_11,6,3,14,0
Company_B_1_11,6,4,6,0
Company_B_1_11,6,4,8,0
Company_B_1_11,6,4,12,0
Company_B_1_11,6,5,7,0
Company_B_1_11,6,5,14,0
Company_B_1_11,6,6,7,0
Company_B_1_11,6,6,9,0
Company_B_1_11,6,6,15,0
Company_B_1_11,6,7,13,0
Company_B_1_11,6,8,9,0
Company_B_1_11,6,9,10,0
Company_B_1_11,6,10,11,0
Company_B_1_11,6,12,15,0
Company_B_1_11,6,13,14,0
Company_B_1_11,6,14,15,0
Company_B_1_11,7,1,3,0
